category,reference,topic_or_area,summary_or_observation,priority,owner,evidence_citation
High-Impact Account,M07,Willowfield Trust - UI Bug Reproduction,Customer confirmed a high-priority persistence defect in transaction editing (event-payment descriptions revert after save). Immediate bug ticket required.,High,N/A,M07 Turn 2 & Turn 3: 'The field still shows the earlier wording...'
High-Impact Account,M02,LedgerBridge - Multi-Entity Invoicing,"Crucial product architecture alignment. Customer prioritizes electronic invoicing over card issuing, with strict multi-entity tax routing requirements.",High,N/A,M02 Turn 3 & Turn 12: 'Electronic invoicing is the bigger opportunity...'
High-Impact Account,M04,Cedarwave Distribution - Acceptance Risk,Cardholder churn risk identified: POS card declines and unfulfilled expectation regarding Apple/Google Pay digital wallet support.,High,N/A,M04 Turn 2 & Turn 3: 'Much of your usage is physical-card spending. We have seen acceptance problems...'
High-Impact Account,C01,Harborlight Advisory (Pranav) - Competitive Inertia,Prospect is locked in with two existing software vendors. Rep needs targeted differentiation rather than generic pitch.,High,N/A,C01: 'We already have software for our firm. We use two packages.'
Coaching Observation,Telephony Profile Mismatch (C06),Telephony Profile Mismatch (C06),"Caller verbally introduced himself as 'Ravi here', but the call record is logged under Meera's telephony account. Rep logins need auditing to ensure accurate attribution.",Medium,Sales Manager,"C06: 'Hello? Good evening, Mr Nikhil. Good evening. Ravi here.'"
Coaching Observation,Handling Entrenched Software Competitors (C01),Handling Entrenched Software Competitors (C01),Rep Arun encountered an objection that the prospect already uses two accounting software packages. Arun continued pitching product breadth instead of asking which workflows are painful in their current stack.,Medium,Sales Manager,C01: 'We already have software for our firm... Why are you calling?'
Coaching Observation,Clear Upfront Boundaries (M01),Clear Upfront Boundaries (M01),"Strong performance: SpendNest team member properly clarified product regulatory boundaries (registered businesses only, no individual bank accounts) without stringing along an unqualified prospect.",Medium,Sales Manager,"M01 Turn 2: 'Yes, with one important boundary: we work with registered businesses...'"
Follow-up Priority,Engineering / QA,Log Willowfield Trust description saving bug with engineering team (M07),Log Willowfield Trust description saving bug with engineering team (M07),P0 - Engineering Hotfix,Engineering / QA,
Follow-up Priority,Product Architecture,Verify multi-entity subsidiary tax routing API support for LedgerBridge (M02),Verify multi-entity subsidiary tax routing API support for LedgerBridge (M02),P1 - Technical Feasibility Check,Product Architecture,
Follow-up Priority,Customer Onboarding,Re-issue expired admin setup invitation link for Brookmint Holdings (M09),Re-issue expired admin setup invitation link for Brookmint Holdings (M09),P1 - Access Unblock,Customer Onboarding,
Follow-up Priority,Dev,Send foreign incorporation partnership criteria to Willowbank Advisory (C07),Send foreign incorporation partnership criteria to Willowbank Advisory (C07),P2 - Partner Materials Delivery,Dev,
