source_type,source_id,record_ref,person,date,duration_seconds,assigned_routes,manually_corrected,review_state,summary,key_action,action_owner,detail_link
call,4868e5cd-5ab8-581c-a0e4-acc37385f0cf,B01,Arun,2026-08-21,8.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_4868e5cd-5ab8-581c-a0e4-acc37385f0cf/analysis.json
call,5747e4cd-e24f-5bed-bf74-9e3f326b2d77,B02,Leela,2026-08-21,20.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_5747e4cd-e24f-5bed-bf74-9e3f326b2d77/analysis.json
call,024caffc-d16e-5843-b325-682dbc8d448e,B03,Arun,2026-08-21,4.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_024caffc-d16e-5843-b325-682dbc8d448e/analysis.json
call,530207ea-d67b-521a-8085-bdb9ae665417,B04,Arun,2026-08-21,8.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_530207ea-d67b-521a-8085-bdb9ae665417/analysis.json
call,903641e9-d761-591a-a149-334ddfcd236e,B05,Leela,2026-08-21,5.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_903641e9-d761-591a-a149-334ddfcd236e/analysis.json
call,53f61c95-27b9-50c2-8755-08f957594950,B06,Leela,2026-08-21,17.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_53f61c95-27b9-50c2-8755-08f957594950/analysis.json
call,f9be8537-1ad9-58fc-be24-78f73d09db9c,B07,Arun,2026-08-21,3.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_f9be8537-1ad9-58fc-be24-78f73d09db9c/analysis.json
call,77350513-913c-5fed-b4e6-71009de9df03,B08,Leela,2026-08-21,21.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_77350513-913c-5fed-b4e6-71009de9df03/analysis.json
call,747390bc-f359-5609-bf79-0a44ef8919bd,B09,Arun,2026-08-21,26.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_747390bc-f359-5609-bf79-0a44ef8919bd/analysis.json
call,3ea930a1-0496-51e3-9dca-adc3be29331a,B10,Arun,2026-08-21,10.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_3ea930a1-0496-51e3-9dca-adc3be29331a/analysis.json
call,bfefcb48-1a98-5610-a0ee-0f03434188a9,B11,Leela,2026-08-21,26.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_bfefcb48-1a98-5610-a0ee-0f03434188a9/analysis.json
call,9a64eb58-d462-5a6e-aa9e-c0f88852ebe0,B12,Arun,2026-08-21,10.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_9a64eb58-d462-5a6e-aa9e-c0f88852ebe0/analysis.json
call,6521ed7d-53fc-5b3b-be77-7d4610c90ed7,B13,Arun,2026-08-21,4.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_6521ed7d-53fc-5b3b-be77-7d4610c90ed7/analysis.json
call,81da63f4-eac6-5efd-95e1-69ad6e6def25,B14,Leela,2026-08-21,9.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_81da63f4-eac6-5efd-95e1-69ad6e6def25/analysis.json
call,2ada5ab0-8a84-54b7-a071-cd5bd6ad5abd,B15,Arun,2026-08-21,22.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_2ada5ab0-8a84-54b7-a071-cd5bd6ad5abd/analysis.json
call,1f5181ed-4175-5d73-a16b-01d404b1820d,B16,Leela,2026-08-21,4.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_1f5181ed-4175-5d73-a16b-01d404b1820d/analysis.json
call,1645d595-1896-5201-9395-cb8a9f1c5f3a,B17,Arun,2026-08-21,9.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_1645d595-1896-5201-9395-cb8a9f1c5f3a/analysis.json
call,26c3ccc3-63a6-55f6-a5a3-e279b36b7e88,B18,Arun,2026-08-21,31.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_26c3ccc3-63a6-55f6-a5a3-e279b36b7e88/analysis.json
call,6ee11c0e-c74a-5805-b552-657443378b72,B19,Arun,2026-08-21,10.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_6ee11c0e-c74a-5805-b552-657443378b72/analysis.json
call,94b4f015-b243-5b89-b435-9957125ecdd4,B20,Leela,2026-08-21,3.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/call_94b4f015-b243-5b89-b435-9957125ecdd4/analysis.json
meeting,e0ecb112-ed94-5e8e-ae71-19def5536337,M05,team08@example.com,2026-08-21,987.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/meeting_e0ecb112-ed94-5e8e-ae71-19def5536337/analysis.json
meeting,883182d8-eb86-56f9-a928-152365998d15,M08,team08@example.com,2026-08-21,984.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/meeting_883182d8-eb86-56f9-a928-152365998d15/analysis.json
meeting,fc651475-187c-5882-a644-b501408e8647,M11,team13@example.com,2026-08-21,194.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/meeting_fc651475-187c-5882-a644-b501408e8647/analysis.json
meeting,c759b921-e9d3-540c-a06b-474c5710342d,M12,arun@example.com,2026-08-21,1800.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/meeting_c759b921-e9d3-540c-a06b-474c5710342d/analysis.json
meeting,794a9d1c-889d-5957-873f-8a1271b03455,M13,team09@example.com,2026-08-21,3600.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/meeting_794a9d1c-889d-5957-873f-8a1271b03455/analysis.json
meeting,93f4867d-65cd-5236-bc55-7bd57df8ac24,M14,team14@example.com,2026-08-21,3600.0,unassigned,False,unavailable,No usable transcript supplied in this extract.,,unassigned,conversations/meeting_93f4867d-65cd-5236-bc55-7bd57df8ac24/analysis.json
